ID,region,type.of.place.of.residence,wealth.index.combined,sex.of.household.member,age.of.household.members,highest.educational.level.attained,current.marital.status,group
3491,mpumalanga,urban,richest,female,43,higher,married,4
3492,mpumalanga,urban,richest,male,47,higher,married,2
3493,mpumalanga,urban,richest,male,81,primary,married,1
3494,mpumalanga,urban,richest,female,79,secondary,married,1
3495,mpumalanga,urban,richest,male,60,secondary,married,3
3496,mpumalanga,urban,richest,female,52,higher,married,3
3497,mpumalanga,urban,richest,female,33,higher,never married,3
3498,gauteng,urban,poorest,female,40,primary,widowed,1
3499,gauteng,urban,poorest,female,18,secondary,never married,1
3500,gauteng,urban,poorest,male,20,secondary,never married,2
3501,gauteng,urban,poorest,male,30,secondary,married,2
3502,limpopo,urban,poorer,female,33,primary,married,1
3503,limpopo,urban,middle,female,41,primary,never married,3
3504,limpopo,urban,middle,female,22,secondary,never married,1
3505,limpopo,urban,middle,female,24,primary,divorced/separated,1
3506,limpopo,urban,middle,female,17,secondary,never married,1
3507,limpopo,urban,middle,female,23,secondary,married,1
3508,limpopo,urban,middle,female,33,secondary,never married,3
3509,limpopo,urban,middle,female,56,primary,widowed,3
3510,limpopo,urban,richer,male,66,primary,married,2
3511,limpopo,urban,richer,female,24,higher,never married,1
3512,limpopo,urban,middle,female,30,higher,never married,1
3513,limpopo,urban,middle,male,24,secondary,never married,2
3514,mpumalanga,rural,middle,male,46,secondary,married,1
3515,mpumalanga,rural,middle,male,20,primary,never married,4
3516,mpumalanga,rural,middle,male,36,primary,married,2
3517,mpumalanga,rural,middle,female,29,secondary,married,1
3518,mpumalanga,rural,richer,male,30,secondary,married,3
3519,mpumalanga,rural,richer,female,28,secondary,married,1
3520,mpumalanga,rural,richer,male,58,secondary,married,2
3521,mpumalanga,rural,richer,female,57,higher,married,4
3522,mpumalanga,rural,poorer,male,46,secondary,married,3
3523,mpumalanga,rural,poorer,female,30,secondary,married,1
3524,mpumalanga,rural,middle,female,73,"no education, preschool",widowed,4
3525,mpumalanga,rural,middle,male,15,secondary,never married,2
3526,eastern cape,rural,poorest,female,49,primary,married,1
3527,eastern cape,rural,poorest,female,51,primary,widowed,1
3528,eastern cape,rural,poorest,female,22,secondary,never married,1
3529,eastern cape,rural,poorest,female,50,primary,married,1
3530,eastern cape,rural,poorest,female,76,"no education, preschool",married,1
3531,eastern cape,rural,poorest,female,24,primary,never married,1
3532,eastern cape,rural,poorest,female,69,"no education, preschool",widowed,5
3533,eastern cape,rural,poorest,female,19,secondary,never married,1
3534,eastern cape,rural,poorest,female,72,"no education, preschool",divorced/separated,1
3535,eastern cape,rural,poorest,female,18,primary,married,2
3536,eastern cape,rural,poorest,male,58,primary,married,2
3537,eastern cape,rural,poorest,female,53,primary,married,4
3538,eastern cape,rural,poorest,female,27,primary,never married,1
3539,eastern cape,rural,poorest,female,20,secondary,never married,1
3540,eastern cape,rural,poorest,female,17,primary,never married,1
3541,eastern cape,rural,poorest,male,15,primary,never married,1
3542,eastern cape,rural,poorest,female,55,primary,married,4
3543,eastern cape,rural,poorest,female,32,primary,never married,1
3544,eastern cape,rural,poorest,male,23,primary,never married,2
3545,eastern cape,rural,poorest,female,34,primary,never married,2
3546,eastern cape,rural,poorest,female,66,"no education, preschool",married,4
3547,eastern cape,rural,poorest,male,27,"no education, preschool",never married,2
3548,eastern cape,rural,poorest,female,22,secondary,never married,1
3549,eastern cape,rural,poorest,male,18,primary,never married,2
3550,eastern cape,rural,poorest,male,18,primary,never married,2
3551,north west,rural,poorer,male,22,secondary,never married,2
3552,north west,rural,middle,female,24,secondary,married,1
3553,north west,rural,middle,male,29,secondary,divorced/separated,2
3554,north west,rural,middle,female,31,secondary,married,3
3555,north west,rural,middle,male,42,don't know,married,2
3556,north west,rural,middle,female,33,secondary,married,3
3557,north west,rural,middle,male,16,secondary,never married,2
3558,north west,rural,middle,male,15,secondary,never married,1
3559,north west,rural,richer,male,53,secondary,married,4
3560,north west,rural,middle,female,67,secondary,widowed,1
3561,north west,rural,middle,male,30,secondary,married,2
3562,north west,rural,middle,male,52,secondary,married,2
3563,north west,rural,middle,female,47,secondary,married,1
3564,western cape,rural,poorer,female,25,secondary,married,1
3565,eastern cape,urban,richest,female,74,higher,divorced/separated,4
3566,eastern cape,urban,richest,female,71,secondary,widowed,5
3567,eastern cape,urban,richest,male,79,secondary,married,2
3568,eastern cape,urban,richest,female,76,secondary,married,2
3569,eastern cape,urban,richest,male,79,higher,married,2
3570,eastern cape,urban,richest,female,70,higher,married,4
3571,eastern cape,urban,richest,female,80,secondary,widowed,4
3572,free state,rural,poorest,female,55,primary,widowed,1
3573,free state,rural,poorest,male,30,primary,never married,1
3574,free state,rural,poorest,male,23,secondary,never married,2
3575,free state,rural,poorest,male,18,secondary,never married,2
3576,mpumalanga,urban,middle,male,48,secondary,married,2
3577,mpumalanga,urban,middle,male,36,secondary,married,2
3578,mpumalanga,urban,richer,male,20,secondary,never married,2
3579,mpumalanga,urban,richer,male,25,secondary,never married,2
3580,mpumalanga,urban,richer,female,22,secondary,never married,3
3581,mpumalanga,urban,richer,female,43,secondary,married,3
3582,mpumalanga,urban,richer,female,26,secondary,never married,1
3583,mpumalanga,urban,richer,male,29,secondary,never married,2
3584,gauteng,urban,richer,male,35,secondary,never married,1
3585,gauteng,urban,richer,male,31,higher,married,2
3586,mpumalanga,urban,richest,male,34,higher,married,3
3587,mpumalanga,urban,richest,female,35,higher,married,3
3588,mpumalanga,urban,richest,male,63,higher,divorced/separated,3
3589,mpumalanga,urban,richest,male,15,secondary,never married,3
3590,mpumalanga,urban,richest,male,66,higher,married,2
3591,mpumalanga,urban,middle,male,60,secondary,married,4
3592,mpumalanga,urban,middle,female,52,secondary,married,4
3593,mpumalanga,urban,poorer,male,36,secondary,never married,1
3594,mpumalanga,urban,poorer,male,37,secondary,married,2
3595,mpumalanga,urban,poorer,female,30,secondary,married,1
3596,mpumalanga,urban,poorer,female,25,secondary,married,1
3597,mpumalanga,rural,middle,male,40,secondary,never married,1
3598,mpumalanga,rural,middle,female,60,"no education, preschool",widowed,4
3599,mpumalanga,rural,poorer,female,61,"no education, preschool",widowed,1
3600,mpumalanga,rural,poorer,female,22,secondary,never married,1
3601,mpumalanga,rural,middle,male,31,primary,married,1
3602,mpumalanga,rural,middle,female,28,secondary,married,1
3603,mpumalanga,rural,poorer,female,29,secondary,never married,1
3604,mpumalanga,rural,poorer,male,17,secondary,never married,2
3605,mpumalanga,rural,poorer,female,34,primary,widowed,1
3606,mpumalanga,rural,poorer,male,39,"no education, preschool",married,4
3607,mpumalanga,rural,poorer,male,24,secondary,married,2
3608,mpumalanga,rural,poorer,female,22,primary,divorced/separated,1
3609,mpumalanga,rural,poorer,female,21,secondary,never married,1
3610,mpumalanga,rural,poorer,female,18,secondary,married,1
3611,mpumalanga,rural,middle,male,51,primary,married,2
3612,mpumalanga,rural,middle,female,42,primary,married,1
3613,mpumalanga,rural,middle,female,26,higher,never married,1
3614,mpumalanga,rural,middle,female,19,secondary,never married,1
3615,mpumalanga,rural,middle,female,16,secondary,never married,1
3616,mpumalanga,rural,middle,female,34,primary,married,4
3617,mpumalanga,rural,middle,female,15,secondary,never married,1
3618,mpumalanga,rural,poorer,female,83,"no education, preschool",divorced/separated,1
3619,mpumalanga,rural,poorer,male,36,primary,never married,4
3620,mpumalanga,rural,poorer,male,31,secondary,married,3
3621,mpumalanga,rural,poorer,male,29,primary,married,2
3622,mpumalanga,rural,poorer,female,20,secondary,married,1
3623,gauteng,urban,richest,male,58,higher,married,3
3624,gauteng,urban,richest,female,56,higher,married,4
3625,gauteng,urban,richest,male,50,higher,married,3
3626,gauteng,urban,richest,male,60,higher,married,3
3627,gauteng,urban,richest,female,49,higher,married,3
3628,gauteng,urban,richest,female,42,secondary,married,2
3629,gauteng,urban,richest,female,21,secondary,never married,1
3630,eastern cape,urban,poorer,male,44,secondary,never married,4
3631,eastern cape,urban,poorest,female,46,primary,never married,1
3632,eastern cape,urban,poorer,male,35,secondary,divorced/separated,2
3633,eastern cape,urban,poorest,male,17,secondary,never married,2
3634,eastern cape,urban,poorest,male,17,secondary,never married,2
3635,eastern cape,urban,middle,male,32,secondary,never married,2
3636,eastern cape,urban,poorer,female,71,primary,widowed,2
3637,eastern cape,urban,poorest,female,51,primary,never married,4
3638,eastern cape,urban,middle,male,19,secondary,never married,2
3639,kwazulu-natal,rural,poorest,female,38,primary,never married,1
3640,kwazulu-natal,rural,poorest,female,16,secondary,never married,1
3641,kwazulu-natal,rural,poorer,male,57,primary,never married,4
3642,kwazulu-natal,rural,poorer,female,27,secondary,never married,1
3643,kwazulu-natal,rural,poorest,female,20,secondary,never married,1
3644,kwazulu-natal,rural,poorest,female,17,secondary,never married,1
3645,kwazulu-natal,rural,poorest,male,16,secondary,never married,2
3646,kwazulu-natal,rural,poorer,male,38,secondary,never married,2
3647,kwazulu-natal,rural,poorer,female,48,primary,married,3
3648,kwazulu-natal,rural,poorer,male,18,secondary,never married,2
3649,kwazulu-natal,rural,poorer,female,16,secondary,never married,1
3650,kwazulu-natal,rural,poorer,female,38,primary,never married,4
3651,kwazulu-natal,rural,poorest,male,52,"no education, preschool",never married,3
3652,kwazulu-natal,rural,poorest,female,54,secondary,never married,1
3653,kwazulu-natal,rural,poorer,male,34,secondary,never married,4
3654,kwazulu-natal,rural,poorest,female,47,"no education, preschool",never married,1
3655,kwazulu-natal,rural,poorest,female,28,secondary,never married,2
3656,kwazulu-natal,rural,poorest,male,39,secondary,never married,2
3657,kwazulu-natal,rural,poorest,female,40,"no education, preschool",never married,1
3658,kwazulu-natal,rural,middle,female,32,secondary,never married,3
3659,kwazulu-natal,rural,poorest,female,21,secondary,never married,1
3660,kwazulu-natal,rural,poorer,male,57,primary,married,4
3661,kwazulu-natal,rural,poorer,female,47,secondary,married,4
3662,kwazulu-natal,rural,poorer,female,18,secondary,never married,1
3663,kwazulu-natal,rural,poorer,male,30,secondary,never married,1
3664,kwazulu-natal,rural,poorer,male,19,secondary,never married,1
3665,kwazulu-natal,rural,poorer,male,16,secondary,never married,1
3666,eastern cape,urban,richer,male,53,secondary,married,4
3667,eastern cape,urban,richer,female,55,higher,married,3
3668,eastern cape,urban,richest,male,31,higher,married,3
3669,eastern cape,urban,richest,male,27,secondary,never married,4
3670,eastern cape,urban,poorer,female,46,secondary,widowed,3
3671,eastern cape,urban,middle,female,42,higher,never married,4
3672,northern cape,rural,richest,male,31,secondary,never married,3
3673,northern cape,rural,middle,female,40,higher,never married,2
3674,northern cape,rural,richer,female,72,secondary,widowed,4
3675,northern cape,rural,richest,male,34,higher,married,3
3676,northern cape,rural,richest,female,32,higher,married,2
3677,northern cape,rural,richer,female,68,secondary,widowed,4
3678,limpopo,rural,poorest,male,75,"no education, preschool",widowed,2
3679,limpopo,rural,poorer,female,68,"no education, preschool",never married,1
3680,limpopo,rural,poorer,male,62,"no education, preschool",never married,1
3681,limpopo,rural,middle,male,24,secondary,never married,1
3682,limpopo,rural,poorer,female,77,primary,widowed,1
3683,limpopo,rural,poorest,female,46,secondary,never married,1
3684,limpopo,rural,poorest,male,18,secondary,never married,2
3685,limpopo,rural,poorer,male,75,"no education, preschool",widowed,1
3686,limpopo,rural,poorer,female,33,secondary,never married,3
3687,limpopo,rural,poorer,female,16,secondary,never married,1
3688,gauteng,urban,middle,male,34,higher,never married,2
3689,gauteng,urban,middle,male,24,secondary,never married,2
3690,gauteng,urban,middle,male,30,higher,never married,2
3691,mpumalanga,urban,middle,male,27,secondary,never married,2
3692,mpumalanga,urban,middle,female,25,secondary,married,1
3693,mpumalanga,urban,poorer,male,33,secondary,married,2
3694,mpumalanga,urban,poorer,male,22,secondary,never married,2
3695,mpumalanga,urban,poorest,male,42,secondary,married,2
3696,mpumalanga,urban,poorest,female,45,"no education, preschool",never married,2
3697,mpumalanga,urban,poorest,female,21,secondary,never married,2
3698,mpumalanga,urban,middle,male,24,secondary,never married,2
3699,mpumalanga,urban,middle,female,43,primary,never married,4
3700,mpumalanga,urban,poorer,male,27,secondary,never married,2
3701,eastern cape,urban,richest,male,79,secondary,married,3
3702,eastern cape,urban,richest,female,78,secondary,married,1
3703,limpopo,urban,middle,female,47,secondary,widowed,3
3704,limpopo,urban,richest,female,81,secondary,married,1
3705,limpopo,urban,richest,male,45,secondary,never married,3
3706,limpopo,urban,richest,female,27,secondary,never married,1
3707,limpopo,urban,richest,male,41,secondary,married,2
3708,limpopo,urban,richer,male,33,secondary,never married,2
3709,limpopo,urban,richer,male,25,secondary,never married,2
3710,limpopo,urban,richer,female,24,secondary,never married,1
3711,limpopo,urban,richer,male,21,secondary,never married,2
3712,limpopo,urban,richer,male,17,secondary,never married,2
3713,limpopo,urban,richer,female,44,secondary,married,3
3714,limpopo,urban,richer,female,46,secondary,never married,3
3715,limpopo,urban,richer,female,18,secondary,never married,1
3716,limpopo,urban,richer,female,34,higher,never married,1
3717,gauteng,urban,middle,male,50,secondary,divorced/separated,4
3718,gauteng,urban,middle,female,54,primary,never married,1
3719,gauteng,urban,middle,female,19,secondary,never married,1
3720,gauteng,urban,poorer,male,33,secondary,married,2
3721,gauteng,urban,poorer,female,25,secondary,married,3
3722,gauteng,urban,middle,female,29,primary,never married,1
3723,free state,urban,richest,male,58,secondary,married,4
3724,free state,urban,richest,female,50,secondary,married,3
3725,free state,urban,richest,female,18,secondary,never married,4
3726,free state,urban,richer,female,66,secondary,widowed,4
3727,free state,urban,richer,female,26,secondary,never married,1
3728,free state,urban,middle,female,39,secondary,never married,1
3729,free state,urban,middle,female,18,secondary,never married,1
3730,free state,urban,richest,female,67,secondary,widowed,3
3731,free state,urban,richest,male,56,secondary,married,3
3732,free state,urban,richest,female,51,secondary,married,3
3733,free state,urban,richest,female,29,secondary,never married,4
3734,free state,urban,richest,female,23,secondary,never married,3
3735,free state,urban,richest,male,15,primary,never married,3
3736,free state,urban,richer,female,16,secondary,never married,1
3737,free state,urban,richer,female,16,primary,never married,1
3738,free state,urban,richer,female,51,secondary,never married,4
3739,free state,rural,middle,female,62,secondary,married,2
3740,western cape,urban,richest,female,53,higher,divorced/separated,4
3741,western cape,urban,richest,male,22,higher,never married,3
3742,western cape,urban,richest,male,60,higher,never married,5
3743,western cape,urban,richest,female,45,secondary,married,4
3744,western cape,urban,richest,female,52,secondary,never married,4
3745,western cape,urban,richest,male,52,"no education, preschool",married,2
3746,western cape,urban,richest,female,50,"no education, preschool",married,3
3747,north west,rural,poorer,male,40,secondary,married,2
3748,north west,rural,poorer,female,33,secondary,married,3
3749,north west,rural,poorer,male,29,secondary,never married,2
3750,north west,rural,poorer,male,16,primary,never married,1
3751,north west,rural,poorest,male,43,primary,married,2
3752,north west,rural,middle,female,76,primary,divorced/separated,1
3753,north west,rural,middle,male,29,secondary,never married,4
3754,north west,rural,middle,female,21,secondary,never married,1
3755,north west,rural,poorer,male,46,secondary,married,3
3756,north west,rural,poorer,female,35,secondary,married,1
3757,north west,rural,poorest,male,53,primary,married,3
3758,north west,rural,poorer,female,38,secondary,never married,2
3759,north west,rural,poorer,male,41,secondary,never married,3
3760,north west,rural,poorer,female,15,secondary,never married,1
3761,eastern cape,rural,poorer,female,51,secondary,married,3
3762,eastern cape,rural,poorer,male,16,secondary,never married,2
3763,eastern cape,rural,poorer,female,57,primary,widowed,4
3764,eastern cape,rural,poorer,female,41,secondary,married,3
3765,eastern cape,rural,poorer,male,23,secondary,never married,2
3766,eastern cape,rural,poorer,male,16,secondary,never married,2
3767,eastern cape,rural,poorer,female,17,secondary,never married,3
3768,eastern cape,rural,poorer,female,46,secondary,divorced/separated,1
3769,eastern cape,rural,poorer,female,69,"no education, preschool",married,4
3770,eastern cape,rural,middle,female,57,primary,never married,5
3771,eastern cape,rural,middle,female,64,primary,married,5
3772,eastern cape,rural,middle,female,60,"no education, preschool",married,4
3773,western cape,urban,richer,male,44,secondary,married,2
3774,western cape,urban,richer,male,18,secondary,never married,2
3775,western cape,urban,richer,male,18,primary,never married,2
3776,western cape,urban,richer,male,15,primary,never married,2
3777,western cape,urban,middle,female,39,primary,divorced/separated,2
3778,western cape,urban,middle,female,41,secondary,married,1
3779,western cape,urban,middle,female,17,primary,never married,1
3780,western cape,urban,richest,female,36,secondary,never married,1
3781,western cape,urban,richer,female,54,secondary,married,1
3782,western cape,urban,richer,female,33,secondary,never married,1
3783,western cape,urban,richer,female,29,secondary,never married,3
3784,western cape,urban,richer,female,19,secondary,never married,1
3785,limpopo,rural,poorest,male,48,primary,never married,2
3786,limpopo,rural,poorer,male,85,primary,married,1
3787,limpopo,rural,poorer,female,76,"no education, preschool",married,4
3788,limpopo,rural,poorer,female,40,secondary,married,4
3789,limpopo,rural,poorer,female,20,secondary,never married,1
3790,limpopo,rural,middle,male,73,"no education, preschool",widowed,5
3791,limpopo,rural,poorer,male,68,primary,married,3
3792,limpopo,rural,poorer,female,70,"no education, preschool",married,1
3793,limpopo,rural,poorer,male,22,secondary,never married,2
3794,limpopo,rural,poorest,female,30,primary,never married,1
3795,limpopo,rural,poorest,male,22,"no education, preschool",never married,2
3796,limpopo,rural,poorest,male,52,secondary,never married,1
3797,northern cape,urban,richest,female,36,secondary,never married,1
3798,northern cape,urban,richest,female,15,secondary,never married,1
3799,northern cape,urban,richest,male,37,secondary,married,3
3800,northern cape,urban,richest,female,34,secondary,married,4
3801,northern cape,urban,richer,male,49,higher,married,3
3802,northern cape,urban,richer,female,52,higher,married,3
3803,northern cape,urban,richer,male,15,secondary,never married,2
3804,north west,rural,poorest,male,21,secondary,never married,2
3805,north west,rural,richer,male,43,higher,married,2
3806,north west,rural,richer,female,38,higher,married,3
3807,north west,rural,poorer,male,32,secondary,never married,1
3808,north west,rural,poorer,female,40,secondary,never married,3
3809,north west,rural,poorer,male,25,secondary,never married,2
3810,north west,rural,poorest,male,26,secondary,never married,2
3811,north west,rural,poorest,male,23,secondary,never married,2
3812,north west,rural,poorer,female,49,secondary,married,1
3813,north west,rural,poorest,male,21,secondary,never married,2
3814,north west,rural,poorer,female,36,higher,never married,1
3815,free state,urban,richer,female,25,secondary,never married,1
3816,free state,urban,richer,male,18,secondary,never married,1
3817,free state,urban,richer,male,61,primary,widowed,1
3818,free state,urban,richer,male,24,secondary,never married,1
3819,free state,urban,middle,female,58,primary,widowed,4
3820,free state,urban,middle,female,16,secondary,never married,1
3821,free state,urban,middle,male,65,"no education, preschool",widowed,2
3822,free state,urban,middle,female,37,secondary,never married,3
3823,free state,urban,middle,male,18,"no education, preschool",never married,1
3824,free state,urban,middle,male,17,secondary,never married,2
3825,free state,urban,poorest,male,21,secondary,never married,1
3826,gauteng,urban,poorest,male,42,secondary,never married,4
3827,gauteng,urban,poorest,male,43,secondary,married,4
3828,gauteng,urban,poorest,female,32,secondary,married,2
3829,gauteng,urban,poorest,male,28,secondary,never married,2
3830,gauteng,urban,poorest,male,57,primary,widowed,4
3831,gauteng,urban,poorer,female,22,secondary,married,1
3832,gauteng,urban,poorest,female,36,secondary,married,1
3833,north west,rural,poorer,female,40,secondary,never married,3
3834,north west,rural,poorer,male,18,secondary,never married,2
3835,north west,rural,richest,female,31,secondary,married,1
3836,north west,rural,poorer,male,31,secondary,married,2
3837,north west,rural,poorer,female,19,secondary,married,2
3838,north west,rural,poorer,female,64,primary,never married,2
3839,north west,rural,poorer,female,47,primary,never married,3
3840,eastern cape,rural,poorest,female,29,secondary,married,1
3841,eastern cape,rural,poorest,female,72,primary,widowed,4
3842,eastern cape,rural,poorest,female,25,secondary,never married,1
3843,eastern cape,rural,poorest,male,18,secondary,never married,4
3844,eastern cape,rural,poorer,male,57,primary,divorced/separated,2
3845,eastern cape,rural,poorer,female,33,primary,married,4
3846,eastern cape,rural,poorer,male,23,secondary,never married,2
3847,eastern cape,rural,poorest,male,36,"no education, preschool",never married,4
3848,eastern cape,rural,poorest,female,34,primary,never married,1
3849,eastern cape,rural,middle,female,53,secondary,divorced/separated,1
3850,eastern cape,rural,middle,male,36,secondary,never married,2
3851,eastern cape,rural,middle,female,31,secondary,never married,1
3852,eastern cape,rural,poorest,female,19,secondary,never married,1
3853,eastern cape,rural,poorest,female,66,"no education, preschool",widowed,4
3854,eastern cape,rural,poorest,female,21,don't know,married,1
3855,eastern cape,rural,poorest,female,28,primary,married,1
3856,mpumalanga,urban,poorest,male,24,secondary,never married,4
3857,mpumalanga,urban,poorest,male,43,primary,married,2
3858,mpumalanga,urban,poorest,female,52,"no education, preschool",never married,3
3859,mpumalanga,urban,poorest,male,43,secondary,never married,4
3860,mpumalanga,urban,poorest,male,34,secondary,never married,2
3861,mpumalanga,urban,poorest,female,21,primary,married,1
3862,mpumalanga,urban,poorest,male,28,secondary,never married,2
3863,mpumalanga,urban,poorest,male,47,"no education, preschool",divorced/separated,2
3864,mpumalanga,urban,poorest,male,19,primary,never married,2
3865,mpumalanga,urban,poorest,female,30,primary,married,1
3866,gauteng,urban,poorest,male,36,"no education, preschool",never married,2
3867,gauteng,urban,poorest,female,20,primary,never married,1
3868,gauteng,urban,poorer,female,21,secondary,never married,2
3869,gauteng,urban,poorest,female,46,"no education, preschool",widowed,3
3870,gauteng,urban,poorest,male,23,primary,never married,2
3871,gauteng,urban,poorest,female,20,secondary,never married,1
3872,gauteng,urban,poorest,female,16,secondary,never married,1
3873,gauteng,urban,poorer,female,38,secondary,never married,3
3874,gauteng,urban,poorer,female,16,secondary,never married,1
3875,gauteng,urban,middle,female,35,primary,never married,1
3876,gauteng,urban,poorer,male,35,secondary,married,2
3877,free state,urban,middle,female,54,primary,divorced/separated,1
3878,free state,urban,middle,male,19,secondary,never married,2
3879,free state,urban,richer,male,30,higher,never married,3
3880,free state,urban,middle,male,48,secondary,divorced/separated,3
3881,free state,urban,middle,female,54,"no education, preschool",widowed,4
3882,free state,urban,poorest,female,18,primary,married,2
3883,free state,urban,middle,female,62,primary,widowed,4
3884,free state,urban,middle,male,33,secondary,never married,2
3885,free state,urban,middle,female,43,secondary,divorced/separated,1
3886,free state,urban,middle,male,21,secondary,never married,1
3887,limpopo,rural,poorest,female,65,"no education, preschool",divorced/separated,1
3888,limpopo,rural,poorer,female,43,secondary,never married,3
3889,limpopo,rural,poorer,female,25,secondary,never married,1
3890,limpopo,rural,poorer,male,15,primary,never married,1
3891,limpopo,rural,poorer,female,46,secondary,married,4
3892,limpopo,rural,poorer,male,17,secondary,never married,2
3893,limpopo,rural,poorer,male,19,secondary,never married,2
3894,limpopo,rural,middle,female,41,secondary,married,3
3895,limpopo,rural,middle,male,18,secondary,never married,2
3896,eastern cape,rural,poorest,female,37,secondary,married,1
3897,eastern cape,rural,poorest,male,40,secondary,married,3
3898,eastern cape,rural,poorest,male,93,"no education, preschool",widowed,1
3899,eastern cape,rural,poorest,female,19,secondary,never married,1
3900,eastern cape,rural,poorest,male,18,secondary,never married,2
3901,eastern cape,rural,poorest,female,54,"no education, preschool",widowed,4
3902,eastern cape,rural,poorest,female,19,secondary,never married,2
3903,eastern cape,rural,poorest,male,83,"no education, preschool",widowed,4
3904,eastern cape,rural,poorest,female,42,secondary,widowed,1
3905,eastern cape,rural,poorest,female,21,secondary,never married,1
3906,eastern cape,rural,poorest,male,56,"no education, preschool",married,3
3907,eastern cape,rural,poorest,female,56,"no education, preschool",married,4
3908,eastern cape,rural,poorest,male,31,primary,never married,2
3909,eastern cape,rural,poorest,female,22,secondary,never married,4
3910,eastern cape,rural,poorest,female,34,secondary,never married,1
3911,eastern cape,rural,poorest,female,19,secondary,never married,2
3912,eastern cape,rural,poorest,female,39,primary,never married,4
3913,free state,rural,richest,male,59,secondary,married,5
3914,free state,rural,richest,male,28,secondary,never married,2
3915,free state,rural,middle,male,60,secondary,married,3
3916,free state,rural,middle,male,38,secondary,married,2
3917,free state,rural,middle,female,33,primary,married,3
3918,free state,rural,middle,male,56,secondary,married,2
3919,northern cape,urban,richer,male,22,secondary,never married,2
3920,northern cape,urban,middle,female,35,secondary,never married,1
3921,northern cape,urban,middle,female,35,secondary,married,1
3922,northern cape,urban,richer,female,67,primary,widowed,1
3923,northern cape,urban,richer,female,24,secondary,never married,1
3924,northern cape,urban,richer,female,15,secondary,never married,1
3925,northern cape,urban,richer,female,15,secondary,never married,1
3926,north west,rural,poorer,female,75,primary,never married,4
3927,north west,rural,middle,female,94,"no education, preschool",widowed,4
3928,north west,rural,middle,female,70,secondary,never married,4
3929,north west,rural,poorer,female,61,"no education, preschool",widowed,4
3930,north west,rural,middle,female,37,secondary,married,4
3931,north west,rural,poorer,male,73,primary,widowed,4
3932,north west,rural,poorest,female,87,secondary,widowed,4
3933,north west,rural,poorest,male,67,secondary,divorced/separated,1
3934,north west,rural,poorest,female,21,secondary,never married,1
3935,north west,rural,poorest,female,19,secondary,never married,1
3936,north west,rural,poorest,male,79,"no education, preschool",married,4
3937,north west,rural,poorest,female,72,"no education, preschool",married,4
3938,north west,rural,poorest,female,24,secondary,never married,1
3939,north west,rural,poorest,female,19,secondary,never married,1
3940,north west,rural,poorest,male,16,primary,never married,1
3941,north west,rural,poorest,male,15,primary,never married,1
3942,north west,rural,middle,female,34,secondary,never married,1
3943,north west,rural,middle,male,20,secondary,never married,2
3944,north west,rural,poorer,male,72,"no education, preschool",widowed,2
3945,north west,urban,richer,female,65,primary,never married,4
3946,north west,urban,richer,female,42,secondary,never married,1
3947,north west,urban,middle,male,68,secondary,widowed,2
3948,north west,urban,middle,female,37,secondary,never married,1
3949,north west,urban,richest,male,60,don't know,married,5
3950,north west,urban,richest,female,59,secondary,married,3
3951,north west,urban,richest,female,63,"no education, preschool",never married,4
3952,north west,urban,richest,female,19,secondary,never married,1
3953,north west,urban,richest,male,32,secondary,never married,1
3954,north west,urban,richer,female,63,secondary,never married,4
3955,north west,urban,richer,male,37,secondary,never married,4
3956,north west,urban,richer,female,66,primary,widowed,4
3957,north west,urban,richer,female,69,primary,widowed,5
3958,north west,urban,richer,female,72,primary,widowed,4
3959,north west,urban,richest,male,56,primary,married,2
3960,north west,urban,richest,female,57,higher,married,1
3961,limpopo,rural,poorer,male,29,secondary,married,2
3962,limpopo,rural,poorer,female,27,secondary,married,3
3963,limpopo,rural,poorer,female,46,primary,divorced/separated,4
3964,limpopo,rural,poorer,female,28,secondary,never married,3
3965,limpopo,rural,poorer,female,26,secondary,married,2
3966,limpopo,rural,poorest,female,25,secondary,never married,1
3967,limpopo,rural,poorer,male,24,secondary,never married,2
3968,limpopo,rural,poorer,female,19,secondary,never married,1
3969,northern cape,urban,poorest,female,25,secondary,married,1
3970,north west,urban,middle,male,62,"no education, preschool",widowed,1
3971,north west,urban,middle,male,19,primary,never married,2
3972,north west,urban,middle,male,69,secondary,divorced/separated,2
3973,north west,urban,middle,male,24,secondary,never married,2
3974,north west,urban,poorest,male,30,secondary,never married,1
3975,north west,urban,middle,female,63,"no education, preschool",married,1
3976,north west,urban,middle,female,85,"no education, preschool",never married,4
3977,north west,urban,middle,female,21,primary,never married,1
3978,north west,urban,middle,female,19,primary,never married,1
3979,north west,urban,poorest,male,72,primary,married,4
3980,north west,urban,poorest,female,71,primary,married,1
3981,north west,urban,poorest,female,15,primary,never married,1
3982,north west,urban,richer,female,43,secondary,never married,4
3983,north west,urban,richer,male,34,secondary,never married,3
3984,north west,urban,richer,male,27,secondary,never married,3
3985,north west,urban,richer,male,20,secondary,never married,2
3986,kwazulu-natal,urban,richest,female,89,secondary,married,1
3987,kwazulu-natal,urban,richest,female,58,secondary,divorced/separated,2
3988,kwazulu-natal,urban,richest,female,56,higher,married,3
3989,kwazulu-natal,urban,richest,female,58,secondary,divorced/separated,2
3990,kwazulu-natal,urban,richest,male,68,secondary,married,4
3991,kwazulu-natal,urban,richest,female,68,secondary,married,3
3992,kwazulu-natal,urban,richest,female,42,secondary,divorced/separated,3
